Designator,Footprint,Quantity,Value,LCSC Part #
U1,MODULE_NRF52840-DONGLE,1,NRF52840-DONGLE,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,ATtiny85-20S,
U3,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,~,
